H;88;;;00016757;20120325;20120317;20120323;
S;028;1;27.26;11.89;
S;054;0;0;;
S;074;0;0;;
D;21406961;高露洁牙刷360护敏单支装;605;
S;028;9;122.31;25.61;
S;054;0;0;;
S;074;2;27.18;25.61;
D;21406963;高露洁牙膏专效抗敏110g;604;
S;028;0;0;;
S;054;1;25.56;17.41;
S;074;0;0;;
D;21411876;高露洁亮洁晶莹牙刷中毛单支装;605;
S;028;0;0;;
S;054;21;28.72;4.21;
S;074;10;13.68;4.24;
D;21411878;高露洁亮洁晶莹牙刷中毛3支装组;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21508562;高露洁牙膏冰爽劲白七五折100g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21508564;高露洁牙膏冰爽茶香七五折100g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21508566;高露洁牙膏冰爽薄荷七五折100g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21518933;高露洁洁齿波浪牙刷买3送1组;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21559243;高露洁健白防蛀清爽薄牙膏荷7折装200g盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21569321;高露洁冰爽薄荷牙膏7折装165g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21569341;高露洁冰爽劲白牙膏7折装165g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21569343;高露洁冰爽茶香牙膏7折装165g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21585456;高露洁牙膏360度健白180g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21585458;高露洁牙膏360度健白120g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21585906;高露洁贝齿全面护理漱口水500ml瓶;607;
S;028;0;0;;
S;054;0;0;;
S;074;1;27.01;11.88;
D;21585908;高露洁贝齿全面护理漱口水250ml;607;
S;028;0;0;;
S;054;2;31.62;12.4;
S;074;1;15.81;12.4;
D;21585910;高露洁多能呵护软毛牙刷单支装;605;
S;028;2;8.89;12.04;
S;054;6;26.67;12.04;
S;074;2;8.89;12.04;
D;21585931;高露洁360度健康牙龈牙膏清爽薄荷香型7折装180g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21585933;高露洁360度健康美白牙膏冰凉薄荷香型7折装180g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21586434;高露洁牙刷多能呵护三支板;605;
S;028;0;0;;
S;054;1;10.68;10.02;
S;074;0;0;;
D;21606408;高露洁冰爽劲白牙膏180g盒;604;
S;028;7;80.77;14.46;
S;054;6;69.23;14.46;
S;074;5;57.69;14.46;
D;21606410;高露洁冰爽劲白牙膏120g盒;604;
S;028;2;16.92;14.18;
S;054;1;8.46;14.18;
S;074;2;16.92;14.18;
D;21606412;高露洁牙膏冰爽茶香180g盒;604;
S;028;12;138.46;14.46;
S;054;9;103.85;14.46;
